,wind_speed,hourly_highest,hourly_lowest,24_avg_temp,sunshine_duration,24_precipitation,24_avg_humidity,evaporation,Year-Month,flu: (Netherlands),Influenza: (Netherlands),Griep: (Netherlands),Total Search,ISO_YEAR,ISO_WEEK,INF_A,INF_B,ILI_ACTIVITY,SPEC_PROCESSED_NB
116,27.066666666666663,53.333333333333336,12.666666666666666,121.53333333333332,58.4,26.366666666666667,75.63333333333334,21.066666666666663,2018-04,11,8,4,23,20180,160,111.0,38.0,11,258.0
117,24.64516129032258,48.38709677419355,12.258064516129032,164.25806451612902,91.2258064516129,12.096774193548388,69.0,35.67741935483871,2018-05,8,5,2,15,16144,164,14.0,0.0,10,43.0
118,28.666666666666668,47.333333333333336,13.333333333333334,174.96666666666667,68.3,3.6,74.83333333333333,32.56666666666667,2018-06,7,5,2,14,16144,196,3.0,0.0,9,41.0
119,23.93548387096774,49.354838709677416,11.290322580645162,207.0,109.87096774193547,1.4838709677419355,63.2258064516129,43.516129032258064,2018-07,7,4,2,13,20180,290,6.0,3.0,11,33.0
120,21.93548387096774,47.74193548387097,8.709677419354838,185.06451612903223,66.38709677419355,22.32258064516129,74.87096774193549,27.967741935483872,2018-08,7,4,1,12,16144,268,4.0,0.0,9,35.0
121,24.23333333333333,47.66666666666666,11.333333333333334,147.46666666666667,63.93333333333333,13.666666666666666,78.33333333333333,19.466666666666665,2018-09,12,7,3,22,16144,300,4.0,0.0,13,30.0
122,24.64516129032258,48.38709677419355,13.870967741935484,119.41935483870968,57.935483870967744,11.612903225806452,80.83870967741936,12.096774193548388,2018-10,13,8,4,25,20180,420,10.0,1.0,13,51.0
123,34.0,49.333333333333336,22.666666666666668,68.1,28.5,11.566666666666666,85.8,4.433333333333334,2018-11,13,9,4,26,16144,372,31.0,4.0,16,47.0
124,34.193548387096776,52.903225806451616,21.29032258064516,61.38709677419355,12.903225806451612,32.45161290322581,88.38709677419355,2.096774193548387,2018-12,14,16,6,36,20182,406,198.0,5.0,19,64.0
125,30.774193548387096,50.96774193548387,18.70967741935484,35.064516129032256,18.32258064516129,20.32258064516129,86.03225806451613,2.6129032258064515,2019-01,16,16,10,42,16152,28,707.0,4.0,20,102.0
126,30.642857142857142,49.642857142857146,18.928571428571427,60.92857142857143,48.85714285714285,24.071428571428573,82.17857142857143,8.214285714285714,2019-02,18,25,12,55,16152,60,2241.0,7.0,18,119.0
127,38.483870967741936,64.51612903225806,22.258064516129032,80.38709677419355,36.61290322580645,33.54838709677419,78.87096774193549,10.67741935483871,2019-03,13,16,6,35,16152,92,1276.0,4.0,18,58.0
128,32.96666666666667,55.66666666666666,18.0,109.2,82.33333333333333,12.0,65.56666666666666,25.166666666666668,2019-04,10,11,3,24,20190,160,356.0,1.0,8,28.0
